R,G,B,A
254,171,3,255
254,170,2,255
254,170,1,255
254,169,0,255
253,169,0,255
252,168,0,255
251,167,0,255
250,166,0,255
249,166,0,255
247,165,0,255
246,164,0,255
245,163,0,255
244,163,0,255
243,162,0,255
242,161,0,255
241,160,0,255
239,160,0,255
238,159,0,255
237,158,0,255
236,157,0,255
235,156,0,255
234,156,0,255
232,155,0,255
231,154,0,255
230,153,0,255
229,153,0,255
228,152,0,255
227,151,0,255
225,150,0,255
224,150,0,255
223,149,0,255
222,148,0,255
221,147,0,255
220,147,0,255
219,146,0,255
217,145,0,255
216,144,0,255
215,143,0,255
214,143,0,255
213,142,0,255
212,141,0,255
210,140,0,255
209,140,0,255
208,139,0,255
207,138,0,255
206,137,0,255
205,137,0,255
203,136,0,255
202,135,0,255
201,134,0,255
200,134,0,255
199,133,0,255
198,132,0,255
196,131,0,255
195,131,0,255
194,130,0,255
193,129,0,255
192,128,0,255
191,127,0,255
190,127,0,255
188,126,0,255
187,125,0,255
186,124,0,255
185,124,0,255
184,123,0,255
183,122,0,255
181,121,0,255
180,121,0,255
179,120,0,255
178,119,0,255
177,118,0,255
176,118,0,255
174,117,0,255
173,116,0,255
172,115,0,255
171,114,0,255
170,114,0,255
169,113,0,255
168,112,0,255
166,111,0,255
165,111,0,255
164,110,0,255
163,109,0,255
162,108,0,255
161,108,0,255
159,107,0,255
158,106,0,255
157,105,0,255
156,105,0,255
155,104,0,255
154,103,0,255
152,102,0,255
151,102,0,255
150,101,0,255
149,100,0,255
148,99,0,255
147,98,0,255
146,98,0,255
144,97,0,255
143,96,0,255
142,95,0,255
141,95,0,255
140,94,0,255
139,93,0,255
137,92,0,255
136,92,0,255
135,91,0,255
134,90,0,255
133,89,0,255
132,89,0,255
130,88,0,255
129,87,0,255
128,86,0,255
127,86,0,255
126,85,0,255
125,84,0,255
124,83,0,255
122,82,0,255
121,82,0,255
120,81,0,255
119,80,0,255
118,79,0,255
117,79,0,255
115,78,0,255
114,77,0,255
113,76,0,255
112,76,0,255
111,75,0,255
110,74,0,255
108,73,0,255
107,73,0,255
106,72,0,255
105,71,0,255
104,70,0,255
103,69,0,255
102,69,0,255
100,68,0,255
99,67,0,255
98,66,0,255
97,66,0,255
96,65,0,255
95,64,0,255
93,63,0,255
92,63,0,255
91,62,0,255
90,61,0,255
89,60,0,255
88,60,0,255
86,59,0,255
85,58,0,255
84,57,0,255
83,57,0,255
82,56,0,255
81,55,0,255
80,54,0,255
78,53,0,255
77,53,0,255
76,52,0,255
75,51,0,255
74,50,0,255
73,50,0,255
71,49,0,255
70,48,0,255
69,47,0,255
68,47,0,255
67,46,0,255
66,45,0,255
64,44,0,255
63,44,0,255
62,43,0,255
61,42,0,255
60,41,0,255
59,40,0,255
58,40,0,255
56,39,0,255
55,38,0,255
54,37,0,255
53,37,0,255
52,36,0,255
51,35,0,255
49,34,0,255
48,34,0,255
47,33,0,255
46,32,0,255
45,31,0,255
44,31,0,255
42,30,0,255
41,29,0,255
40,28,0,255
39,28,0,255
38,27,0,255
37,26,0,255
35,25,0,255
34,24,0,255
33,24,0,255
32,23,0,255
31,22,0,255
30,21,0,255
29,21,0,255
27,20,0,255
26,19,0,255
25,18,0,255
24,18,0,255
23,17,0,255
22,16,0,255
20,15,0,255
19,15,0,255
18,14,0,255
17,13,0,255
16,12,0,255
15,11,0,255
13,11,0,255
12,10,0,255
11,9,0,255
10,8,0,255
9,8,0,255
8,7,0,255
7,6,0,255
5,5,0,255
4,5,0,255
3,4,0,255
2,3,0,255
1,2,0,255
0,2,0,255
0,2,0,255
0,2,1,255
0,2,2,255
0,2,2,255
0,2,3,255
0,2,4,255
0,2,4,255
0,2,5,255
0,2,6,255
0,2,6,255
0,2,7,255
0,2,8,255
0,2,8,255
0,2,9,255
0,2,10,255
0,2,10,255
0,2,11,255
0,2,12,255
0,2,12,255
0,2,13,255
0,2,14,255
0,2,15,255
0,2,15,255
0,2,16,255
0,2,17,255
0,2,17,255
0,2,18,255
0,2,19,255
0,2,19,255
0,3,20,255
0,3,21,255
0,3,21,255
0,3,22,255
0,3,23,255
0,3,23,255
0,3,24,255
0,3,25,255
0,3,25,255
0,3,26,255
0,3,27,255
0,3,28,255
0,3,28,255
0,3,29,255
0,3,30,255
0,3,30,255
0,3,31,255
0,3,32,255
0,3,32,255
0,3,33,255
0,3,34,255
0,3,34,255
0,3,35,255
0,3,36,255
0,3,36,255
0,3,37,255
0,3,38,255
0,3,39,255
0,3,39,255
0,4,40,255
0,4,41,255
0,4,41,255
0,4,42,255
0,4,43,255
0,4,43,255
0,4,44,255
0,4,45,255
0,4,45,255
0,4,46,255
0,4,47,255
0,4,47,255
0,4,48,255
0,4,49,255
0,4,49,255
0,4,50,255
0,4,51,255
0,4,52,255
0,4,52,255
0,4,53,255
0,4,54,255
0,4,54,255
0,4,55,255
0,4,56,255
0,4,56,255
0,4,57,255
0,4,58,255
0,4,58,255
0,4,59,255
0,5,60,255
0,5,60,255
0,5,61,255
0,5,62,255
0,5,62,255
0,5,63,255
0,5,64,255
0,5,65,255
0,5,65,255
0,5,66,255
0,5,67,255
0,5,67,255
0,5,68,255
0,5,69,255
0,5,69,255
0,5,70,255
0,5,71,255
0,5,71,255
0,5,72,255
0,5,73,255
0,5,73,255
0,5,74,255
0,5,75,255
0,5,76,255
0,5,76,255
0,5,77,255
0,5,78,255
0,5,78,255
0,5,79,255
0,6,80,255
0,6,80,255
0,6,81,255
0,6,82,255
0,6,82,255
0,6,83,255
0,6,84,255
0,6,84,255
0,6,85,255
0,6,86,255
0,6,86,255
0,6,87,255
0,6,88,255
0,6,89,255
0,6,89,255
0,6,90,255
0,6,91,255
0,6,91,255
0,6,92,255
0,6,93,255
0,6,93,255
0,6,94,255
0,6,95,255
0,6,95,255
0,6,96,255
0,6,97,255
0,6,97,255
0,6,98,255
0,6,99,255
