R,G,B,A
187,104,87,255
186,103,87,255
186,102,87,255
185,101,86,255
185,100,86,255
184,98,85,255
184,97,85,255
183,96,84,255
182,95,84,255
182,94,84,255
181,93,83,255
181,91,83,255
180,90,83,255
179,89,82,255
179,88,82,255
178,87,82,255
178,86,82,255
177,85,81,255
176,84,81,255
175,82,81,255
175,81,81,255
174,80,81,255
173,79,80,255
173,78,80,255
172,77,80,255
171,76,80,255
170,75,80,255
170,74,80,255
169,73,80,255
168,71,80,255
167,70,79,255
167,69,79,255
166,68,79,255
165,67,79,255
164,66,79,255
163,65,79,255
162,64,79,255
162,63,79,255
161,62,79,255
160,61,79,255
159,60,79,255
158,59,79,255
157,58,79,255
156,57,79,255
155,56,79,255
154,55,79,255
154,54,79,255
153,53,79,255
152,52,79,255
151,51,79,255
150,50,79,255
149,50,79,255
148,49,79,255
147,48,79,255
146,47,79,255
145,46,80,255
144,45,80,255
143,44,80,255
141,44,80,255
140,43,80,255
139,42,80,255
138,41,80,255
137,40,80,255
136,40,80,255
135,39,80,255
134,38,80,255
132,37,80,255
131,37,80,255
130,36,80,255
129,35,80,255
128,35,80,255
127,34,80,255
125,33,80,255
124,33,79,255
123,32,79,255
122,32,79,255
120,31,79,255
119,31,79,255
118,30,79,255
117,30,79,255
115,29,78,255
114,29,78,255
113,28,78,255
111,28,78,255
110,27,78,255
109,27,77,255
107,26,77,255
106,26,77,255
105,26,76,255
103,25,76,255
102,25,76,255
101,25,75,255
99,24,75,255
98,24,75,255
97,24,74,255
95,23,74,255
94,23,73,255
93,23,73,255
92,22,72,255
90,22,72,255
89,22,71,255
88,21,71,255
86,21,70,255
85,21,70,255
84,21,69,255
82,20,69,255
81,20,68,255
80,20,68,255
79,20,67,255
77,19,67,255
76,19,66,255
75,19,66,255
74,19,65,255
73,18,65,255
71,18,64,255
70,18,64,255
69,18,63,255
68,18,63,255
67,18,62,255
66,17,61,255
65,17,61,255
64,17,60,255
63,17,60,255
62,17,60,255
61,17,59,255
60,17,59,255
59,17,58,255
58,17,58,255
57,17,57,255
56,17,57,255
55,17,57,255
55,17,56,255
54,17,56,255
53,17,56,255
53,17,56,255
52,17,55,255
51,17,55,255
51,17,55,255
50,18,55,255
49,18,55,255
49,18,54,255
48,19,54,255
47,19,54,255
47,20,54,255
